formula,entropy,backbone,num_sols,chi_square,cpu_time
38bits_10.dimacs.cnf,0.111607,0.888393,2.0,0.0,7.94979
40bits_10.dimacs.cnf,0.130045,0.869955,2.0,0.0,4.79127
42bits_12.dimacs.cnf,0.144981,0.855019,2.0,0.0,219.07
44bits_11.dimacs.cnf,0.101806,0.898194,2.0,0.0,237.377
46bits_11.dimacs.cnf,0.085631,0.914369,2.0,0.0,803.63
46bits_12.dimacs.cnf,0.1033,0.8967,2.0,0.0,82.8844
46bits_14.dimacs.cnf,0.075362,0.924638,2.0,0.0,219.154
48bits_14.dimacs.cnf,0.140988,0.859012,2.0,0.0,15.9256
manthey_DimacsSorter_30_4.cnf,0.000269,0.999731,2.0,0.0,169.346
manthey_DimacsSorter_30_5.cnf,0.00026,0.99974,2.0,0.0,135.515
manthey_DimacsSorter_30_6.cnf,0.000275,0.999725,2.0,0.0,170.127
manthey_DimacsSorter_32_1.cnf,0.33973,0.610513,8.0,0.0,216.999
manthey_DimacsSorter_35_1.cnf,0.000144,0.999856,2.0,0.0,3353.99
manthey_DimacsSorter_35_7.cnf,0.000146,0.999854,2.0,0.0,904.831
manthey_single-ordered-initialized-w12-b6.cnf,0.0,1.0,1.0,0.0,0.003999
manthey_single-ordered-initialized-w14-b7.cnf,0.0,1.0,1.0,0.0,0.011998
manthey_single-ordered-initialized-w20-b10.cnf,0.0,1.0,1.0,0.0,0.047992
mrpp_4x4#4_5.cnf,0.460573,0.367601,1.622159e+40,0.0,0.006998
mrpp_4x4#6_16.cnf,0.575784,0.226863,1.658384e+96,0.0,0.354946
mrpp_4x4#6_20.cnf,0.589446,0.202245,5.92145e+111,0.0,0.605907
mrpp_4x4#8_8.cnf,0.447123,0.370986,2.072992e+36,0.0,0.19297
mrpp_6x6#10_10.cnf,0.483244,0.349422,2.246002e+139,0.0,0.528919
mrpp_6x6#10_8.cnf,0.429268,0.438479,2.38103e+116,0.0,0.288956
manthey_DimacsSorter_30_1.cnf,0.000277,0.999723,2.0,0.0,114.103
gss-18-s100.cnf,0.0,1.0,1.0,0.0,351.092
manthey_single-ordered-initialized-w48-b8.cnf,0.723197,0.165885,36.0,0.0,848.658
manthey_single-ordered-initialized-w54-b9.cnf,0.742229,0.103986,82.63801,36.928,837.639
mrpp_4x4#10_9.cnf,0.181505,0.766194,6.270494e+30,0.0,0.544917
mrpp_8x8#22_11.cnf,0.284128,0.636797,7.58927e+176,0.0,47.0808
vmpc_29.cnf,0.0,1.0,1.0,0.0,136.608
vmpc_33.cnf,0.080108,0.912764,3.0,0.0,9279.18
manthey_DimacsSorterHalf_28_4.cnf,0.000273,0.999727,2.0,0.0,127.469
manthey_DimacsSorterHalf_30_0.cnf,0.012458,0.987542,4.0,0.0,174.122
manthey_DimacsSorterHalf_30_3.cnf,0.000267,0.999733,2.0,0.0,48.7156
manthey_DimacsSorterHalf_30_7.cnf,0.105813,0.894187,4.0,0.0,85.382
manthey_DimacsSorterHalf_32_1.cnf,0.33973,0.610513,8.0,0.0,162.775
manthey_DimacsSorter_28_0.cnf,0.000251,0.999749,2.0,0.0,32.0551
manthey_DimacsSorter_28_3.cnf,0.000281,0.999719,2.0,0.0,192.39
manthey_DimacsSorter_28_4.cnf,0.000273,0.999727,2.0,0.0,127.047
manthey_DimacsSorter_28_7.cnf,0.000285,0.999715,2.0,0.0,29.7605
aes_32_3_keyfind_1.cnf,0.0,1.0,1.0,0.0,2709.81
