experiment,solver,formula,variables,clauses,runtime,conflicts,decisions,restarts,propagations,entropy,backbone,num_sols,chi_square,cpu_time
exp2,COMiniSatPS-6,40bits_10.dimacs.cnf,446,12980,61.0787,224458,255797,475.0,16165613,0.130045,0.869955,2.0,0.0,4.79127
exp2,COMiniSatPS-5,40bits_10.dimacs.cnf,446,12980,36.7064,234944,274595,367.0,14949163,0.130045,0.869955,2.0,0.0,4.79127
exp5,wrapper-60,40bits_10.dimacs.cnf,446,12980,15.7316,117363,154663,356.0,4992154,0.130045,0.869955,2.0,0.0,4.79127
exp4,wrapper-glucose,40bits_10.dimacs.cnf,446,12980,2.13967,26069,32948,64.0,979665,0.130045,0.869955,2.0,0.0,4.79127
exp2,COMiniSatPS-4,40bits_10.dimacs.cnf,446,12980,48.0707,222780,258214,319.0,15949794,0.130045,0.869955,2.0,0.0,4.79127
exp1,glucose-NR,40bits_10.dimacs.cnf,446,12980,59.091,169511,203652,306.0,9029944,0.130045,0.869955,2.0,0.0,4.79127
exp2,COMiniSatPS-2,40bits_10.dimacs.cnf,446,12980,8.26274,76088,98271,232.0,3880341,0.130045,0.869955,2.0,0.0,4.79127
exp2,glucose,40bits_10.dimacs.cnf,446,12980,47.1028,311244,355654,478.0,18457938,0.130045,0.869955,2.0,0.0,4.79127
exp2,COMiniSatPS-1,40bits_10.dimacs.cnf,446,12980,28.4097,231233,270021,413.0,14728615,0.130045,0.869955,2.0,0.0,4.79127
exp3,wrapperClause,40bits_10.dimacs.cnf,446,12980,28.2297,193982,231506,540.0,11188517,0.130045,0.869955,2.0,0.0,4.79127
exp2,COMiniSatPS-0,40bits_10.dimacs.cnf,446,12980,18.6532,133955,164021,364.0,7819557,0.130045,0.869955,2.0,0.0,4.79127
exp1,glucose,40bits_10.dimacs.cnf,446,12980,42.1676,311244,355654,478.0,18457938,0.130045,0.869955,2.0,0.0,4.79127
exp2,COMiniSatPS-3,40bits_10.dimacs.cnf,446,12980,21.6627,165525,199891,418.0,9817149,0.130045,0.869955,2.0,0.0,4.79127
exp4,wrapper-luby,40bits_10.dimacs.cnf,446,12980,10.3934,91565,110245,255.0,4725586,0.130045,0.869955,2.0,0.0,4.79127
exp5,wrapper-85,40bits_10.dimacs.cnf,446,12980,56.3034,221881,261483,975.0,15273897,0.130045,0.869955,2.0,0.0,4.79127
exp3,wrapperLBD,40bits_10.dimacs.cnf,446,12980,2.10968,26069,32948,64.0,979665,0.130045,0.869955,2.0,0.0,4.79127
exp2,SWDiA5BY,40bits_10.dimacs.cnf,446,12980,17.4483,120195,149414,258.0,6029617,0.130045,0.869955,2.0,0.0,4.79127
exp5,wrapper-base,40bits_10.dimacs.cnf,446,12980,5.71913,53367,72151,234.0,2136610,0.130045,0.869955,2.0,0.0,4.79127
exp5,wrapper-95,40bits_10.dimacs.cnf,446,12980,37.6053,174063,202694,596.0,11416631,0.130045,0.869955,2.0,0.0,4.79127
exp2,lingeling-aqw,40bits_10.dimacs.cnf,446,12980,25.2,183579,217406,,11217403,0.130045,0.869955,2.0,0.0,4.79127
exp2,lingeling-ayv,40bits_10.dimacs.cnf,446,12980,52.5,283253,340350,,15585285,0.130045,0.869955,2.0,0.0,4.79127
exp1,glucose,mrpp_4x4#10_9.cnf,1976,12182,1.22381,31857,65451,224.0,1595885,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp5,wrapper-60,mrpp_4x4#10_9.cnf,1976,12182,6.48301,84820,153212,529.0,5000468,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,glucose,mrpp_4x4#10_9.cnf,1976,12182,1.26581,31857,65451,224.0,1595885,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,COMiniSatPS-2,mrpp_4x4#10_9.cnf,1976,12182,0.882865,15244,49827,135.0,1727347,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,COMiniSatPS-1,mrpp_4x4#10_9.cnf,1976,12182,0.905862,15244,49827,135.0,1727347,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp4,wrapper-glucose,mrpp_4x4#10_9.cnf,1976,12182,1.65675,37740,76139,296.0,2002741,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,COMiniSatPS-5,mrpp_4x4#10_9.cnf,1976,12182,0.648901,16220,55134,121.0,1857128,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,COMiniSatPS-4,mrpp_4x4#10_9.cnf,1976,12182,5.19521,63907,132432,433.0,8255158,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp1,glucose-NR,mrpp_4x4#10_9.cnf,1976,12182,0.993848,28575,56962,186.0,1354942,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,lingeling-ayv,mrpp_4x4#10_9.cnf,1976,12310,1.0,8916,41517,,832289,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp4,wrapper-luby,mrpp_4x4#10_9.cnf,1976,12182,2.04069,36000,68264,126.0,1797595,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,COMiniSatPS-6,mrpp_4x4#10_9.cnf,1976,12182,1.48777,22728,66718,156.0,2832507,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp5,wrapper-95,mrpp_4x4#10_9.cnf,1976,12182,2.95355,41846,80948,246.0,2548801,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp3,wrapperClause,mrpp_4x4#10_9.cnf,1976,12182,2.30265,37734,81652,315.0,1948266,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,SWDiA5BY,mrpp_4x4#10_9.cnf,1976,12182,0.424935,16770,38799,111.0,734992,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,lingeling-aqw,mrpp_4x4#10_9.cnf,1976,12310,1.3,10140,50831,,1063523,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp5,wrapper-base,mrpp_4x4#10_9.cnf,1976,12182,1.82372,32725,67247,218.0,1694935,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,COMiniSatPS-3,mrpp_4x4#10_9.cnf,1976,12182,0.810876,15242,50412,133.0,1641740,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp3,wrapperLBD,mrpp_4x4#10_9.cnf,1976,12182,2.66659,37740,76139,296.0,2002741,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp5,wrapper-85,mrpp_4x4#10_9.cnf,1976,12182,8.06477,90233,172722,664.0,5497541,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,COMiniSatPS-0,mrpp_4x4#10_9.cnf,1976,12182,0.603908,15244,49827,135.0,1727347,0.181505,0.766194,6.270494e+30,0.0,0.544917
exp2,COMiniSatPS-2,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.005999,143,534,1.0,27335,0.0,1.0,1.0,0.0,0.011998
exp5,wrapper-base,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.029995,287,1000,2.0,22076,0.0,1.0,1.0,0.0,0.011998
exp2,lingeling-ayv,manthey_single-ordered-initialized-w14-b7.cnf,1225,8099,0.1,33,330,,2740,0.0,1.0,1.0,0.0,0.011998
exp3,wrapperClause,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.026995,320,1065,2.0,26555,0.0,1.0,1.0,0.0,0.011998
exp1,glucose,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.022996,179,796,1.0,18100,0.0,1.0,1.0,0.0,0.011998
