experiment,solver,formula,variables,clauses,runtime,conflicts,decisions,restarts,propagations,entropy,backbone,num_sols,chi_square,cpu_time
exp2,COMiniSatPS-5,C168_FW_UT_518.cnf,1909,6331,0.003999,2,444,1.0,2154,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp4,wrapper-luby,C168_FW_UT_518.cnf,1909,6331,0.020996,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp2,COMiniSatPS-6,C168_FW_UT_518.cnf,1909,6331,0.001999,2,444,1.0,2154,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp2,COMiniSatPS-0,C168_FW_UT_518.cnf,1909,6331,0.002999,2,444,1.0,2154,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp3,wrapperLBD,C168_FW_UT_518.cnf,1909,6331,0.015997,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp2,SWDiA5BY,C168_FW_UT_518.cnf,1909,6331,0.017997,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp2,COMiniSatPS-1,C168_FW_UT_518.cnf,1909,6331,0.002999,2,444,1.0,2154,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp5,wrapper-base,C168_FW_UT_518.cnf,1909,6331,0.015997,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp1,glucose-NR,C168_FW_UT_518.cnf,1909,6331,0.013997,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp1,glucose,C168_FW_UT_518.cnf,1909,6331,0.012998,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp2,glucose,C168_FW_UT_518.cnf,1909,6331,0.018997,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp2,COMiniSatPS-4,C168_FW_UT_518.cnf,1909,6331,0.001999,2,444,1.0,2154,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp5,wrapper-60,C168_FW_UT_518.cnf,1909,6331,0.014997,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp2,lingeling-aqw,C168_FW_UT_518.cnf,1909,7511,0.0,0,25,,1451,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp2,lingeling-ayv,C168_FW_UT_518.cnf,1909,7511,0.1,0,0,,1408,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp3,wrapperClause,C168_FW_UT_518.cnf,1909,6331,0.020996,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp5,wrapper-95,C168_FW_UT_518.cnf,1909,6331,0.022996,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp5,wrapper-85,C168_FW_UT_518.cnf,1909,6331,0.021996,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp2,COMiniSatPS-2,C168_FW_UT_518.cnf,1909,6331,0.003999,2,444,1.0,2154,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp4,wrapper-glucose,C168_FW_UT_518.cnf,1909,6331,0.022996,0,16,1.0,1434,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp2,COMiniSatPS-3,C168_FW_UT_518.cnf,1909,6331,0.003999,2,444,1.0,2154,0.193598,0.764798,7.830457e+98,0.0,0.004999
exp2,lingeling-ayv,modgen-n200-m90860q08c40-15606.cnf,2200,9086,169.9,570950,1098792,,122347694,0.1537,0.809091,5.12819e+73,0.0,10.5574
