experiment,solver,formula,variables,clauses,runtime,conflicts,decisions,restarts,propagations
exp2,COMiniSatPS-6,40bits_10.dimacs.cnf,446,12980,61.0787,224458,255797,475,16165613
exp1,glucose,mrpp_4x4#10_9.cnf,1976,12182,1.22381,31857,65451,224,1595885
exp2,COMiniSatPS-2,manthey_single-ordered-initialized-w14-b7.cnf,1225,6781,0.005999,143,534,1,27335
exp5,wrapper-base,vmpc_29.cnf,841,120147,302.586,1795003,3533525,6755,238167556
exp4,wrapper-luby,manthey_DimacsSorter_28_4.cnf,3666,11883,100.241,608411,736758,1278,199892223
exp2,COMiniSatPS-6,46bits_12.dimacs.cnf,697,17080,381.984,860019,1000774,1883,91529860
exp2,lingeling-aqw,46bits_11.dimacs.cnf,689,16922,524.3,1767792,1996172,,167469420
exp1,glucose-NR,mrpp_6x6#10_8.cnf,3893,25462,0.135979,5740,25432,25,228019
exp2,COMiniSatPS-5,44bits_11.dimacs.cnf,609,15417,233.193,708534,817562,2347,60994676
exp1,glucose-NR,manthey_DimacsSorterHalf_28_4.cnf,3666,11883,609.057,819384,976125,2091,227234517
exp2,SWDiA5BY,46bits_14.dimacs.cnf,690,16938,570.218,1296292,1474150,3231,126764717
exp5,wrapper-60,mrpp_4x4#10_9.cnf,1976,12182,6.48301,84820,153212,529,5000468
exp2,COMiniSatPS-4,mrpp_6x6#10_8.cnf,3893,25462,0.172973,5956,111957,36,922951
exp4,wrapper-glucose,manthey_DimacsSorterHalf_30_3.cnf,3740,11875,31.3482,174411,229442,704,53920717
exp2,lingeling-ayv,46bits_11.dimacs.cnf,689,16922,12.6,37488,53312,,2319976
exp1,glucose,manthey_DimacsSorterHalf_30_3.cnf,3740,11875,50.7953,281651,345181,650,71234161
exp2,COMiniSatPS-6,manthey_DimacsSorter_28_4.cnf,3666,11883,187.261,785828,931036,1602,352365246
exp2,COMiniSatPS-4,manthey_DimacsSorter_28_0.cnf,3986,13057,14.9517,76424,105301,451,40519533
exp2,COMiniSatPS-1,manthey_DimacsSorter_28_4.cnf,3666,11883,194.338,899725,1057418,1406,404473043
exp5,wrapper-base,46bits_12.dimacs.cnf,697,17080,457.291,1086355,1242151,3042,107368457
exp3,wrapperClause,38bits_10.dimacs.cnf,448,12700,17.4124,100962,122620,391,5387535
exp2,COMiniSatPS-0,48bits_14.dimacs.cnf,688,18150,961.07,1757740,2042117,4857,175578617
exp2,COMiniSatPS-0,manthey_DimacsSorter_35_1.cnf,6945,23459,1082.84,3006874,3731253,5937,2021212828
